lab_id,site_id,c14_age,c14_error,curve
Wk-6628,Channel Country,790,75,shcal20
OZC-959,Darwin Coastal,860,75,shcal20
ANU-3715,Sydney Basin,900,75,shcal20
Wk-6623,Channel Country,1350,75,shcal20
V-39,NSW North Coast,1350,75,shcal20
V-42,NSW North Coast,1465,75,shcal20
ANU-1487,Naracoorte Coastal Plain,2590,75,shcal20
ANU-1131,Warren,3080,75,shcal20
V-27,NSW North Coast,6445,75,shcal20
Wk-11561,South Eastern Highlands,9998,75,shcal20
AA-19691,Warren,19840,75,shcal20
Wk-9993,Murray Darling Depression,1747,76,shcal20
ANU-6944,Tasmanian South East,230,77,shcal20
Wk-11187,Victoria Midlands,2176,79,shcal20
Beta-68161,South East Coastal Plain,120,80,shcal20
GaK 2511,Murray Darling Depression,180,80,shcal20
ANU-7684,Simpson Strzelecki Dunefields,200,80,shcal20
Beta-56565,Southern East Queensland,200,80,shcal20
ANU-3262,Murray Darling Depression,220,80,shcal20
GaK-5991,Tasmanian West,250,80,shcal20
SUA-1128,Riverina,250,80,shcal20
ANU-2245,South East Corner,260,80,shcal20
ANU-2424,Victoria Volcanic Plain,270,80,shcal20
ANU-1572,Sydney Basin,270,80,shcal20
GaK-707,NSW North Coast,320,80,shcal20
ANU-5425,Channel Country,330,80,shcal20
Beta-13481,Cape York Peninsula,380,80,shcal20
Wk-2993,Simpson Strzelecki Dunefields,410,80,shcal20
ANU-11909,Desert Uplands,430,80,shcal20
GaK-704,NSW North Coast,440,80,shcal20
SUA-1018B,Tasmanian South East,445,80,shcal20
Beta-44523,Sydney Basin,450,80,shcal20
